,Name,Competition,Region,Year,Instrument,Prize,Gender
198, Roe Van Boskirk,Cleveland,USA/Canada,1975,piano,4,0
199, Katsurako Mikami,Cleveland,Asia,1975,piano,5,1
200, Paweł Chęciński,Cleveland,Europe,1975,piano,6,0
201,Van Cliburn,Tchaikovsky,USA/Canada,1958,piano,1,0
202,Naum Shtarkman,Tchaikovsky,Europe,1958,piano,3,0
203,Eliso Virsaladze,Tchaikovsky,Europe,1962,piano,3,1
204,Grigory Sokolov,Tchaikovsky,Europe,1966,piano,1,0
205,Misha Dichter,Tchaikovsky,USA/Canada,1966,piano,2,0
206,Victor Eresko,Tchaikovsky,Europe,1966,piano,3,0
207,Horacio Gutiérrez,Tchaikovsky,Other,1970,piano,2,0
208,Andrei Gavrilov,Tchaikovsky,Europe,1974,piano,1,0
209,Youri Egorov,Tchaikovsky,Europe,1974,piano,3,0
210,Mikhail Pletnev,Tchaikovsky,Europe,1978,piano,1,0
211,Mitie Koyama,Tchaikovsky,Asia,1982,piano,3,1
212,Barry Douglas,Tchaikovsky,Europe,1986,piano,1,0
213,Natalia Trull,Tchaikovsky,Europe,1986,piano,2,1
214,Sara Davis Buechner,Tchaikovsky,Europe,1986,piano,3,1
215,Boris Berezovsky,Tchaikovsky,Europe,1990,piano,1,0
216,Vladimir Mischouk,Tchaikovsky,Europe,1990,piano,2,0
217,Nikolai Lugansky,Tchaikovsky,Europe,1994,piano,2,0
218,Denis Matsuev,Tchaikovsky,Europe,1998,piano,1,0
219,Vadim Rudenko,Tchaikovsky,Europe,1998,piano,2,0
220,Freddy Kempf,Tchaikovsky,Europe,1998,piano,3,0
221,Ayako Uehara,Tchaikovsky,Asia,2002,piano,1,1
222,Alexei Nabiulin,Tchaikovsky,Europe,2002,piano,2,0
223,Miroslav Kultyshev,Tchaikovsky,Europe,2007,piano,2,0
224,Alexander Lubyantsev,Tchaikovsky,Europe,2007,piano,3,0
225,Daniil Trifonov,Tchaikovsky,Europe,2011,piano,1,0
226,Yeol Eum Son,Tchaikovsky,Asia,2011,piano,2,1
227,Seong-Jin Cho,Tchaikovsky,Asia,2011,piano,3,0
228,Dmitry Masleev,Tchaikovsky,Europe,2015,piano,1,0
229,Valery Klimov,Tchaikovsky,Europe,1958,violin,1,0
230,Victor Pikaizen,Tchaikovsky,Europe,1958,violin,2,0
231,Ştefan Ruha,Tchaikovsky,Europe,1958,violin,3,0
232,Boris Gutnikov,Tchaikovsky,Europe,1962,violin,1,0
233,Viktor Tretiakov,Tchaikovsky,Europe,1966,violin,1,0
234,Gidon Kremer,Tchaikovsky,Europe,1970,violin,1,0
235,Liana Isakadze,Tchaikovsky,Europe,1970,violin,3,1
236,Tomoko Kato,Tchaikovsky,Asia,1982,violin,2,1
237,Jane Peters,Tchaikovsky,Other,1986,violin,3,1
238,Akiko Suwanai,Tchaikovsky,Asia,1990,violin,1,1
239,Evgeny Bushkov,Tchaikovsky,Europe,1990,violin,2,0
240,Alyssa Park,Tchaikovsky,USA/Canada,1990,violin,3,1
241,Nikolai Savchenko,Tchaikovsky,Europe,1998,violin,1,0
242,Latica Honda-Rosenberg,Tchaikovsky,Europe,1998,violin,2,1
243,Ichun Pan,Tchaikovsky,Asia,1998,violin,3,1
244,Tamaki Kawakubo,Tchaikovsky,Other,2002,violin,2,1
245,Xi Chen,Tchaikovsky,Asia,2002,violin,3,0
246,Mayuko Kamio,Tchaikovsky,Asia,2007,violin,1,1
247,Nikita Boriso-Glebsky,Tchaikovsky,Europe,2007,violin,2,0
248,Yuki Manuela Janke,Tchaikovsky,Europe,2007,violin,3,1
249,Jehye Lee,Tchaikovsky,Asia,2011,violin,3,1
250,Yu-Chien Tseng,Tchaikovsky,Asia,2015,violin,2,0
251,Natalia Shakhovskaya,Tchaikovsky,Europe,1962,cello,1,1
252,Karine Georgian,Tchaikovsky,Europe,1966,cello,1,1
253,David Geringas,Tchaikovsky,Europe,1970,cello,1,0
254,Victoria Yagling,Tchaikovsky,Europe,1970,cello,2,1
255,Ko Iwasaki,Tchaikovsky,Asia,1970,cello,3,0
256,Boris Pergamenschikov,Tchaikovsky,Europe,1974,cello,1,0
257,Ivan Monighetti,Tchaikovsky,Europe,1974,cello,2,0
258,Hirofumi Kanno,Tchaikovsky,Asia,1974,cello,3,0
259,Nathaniel Rosen,Tchaikovsky,USA/Canada,1978,cello,1,0
260,Antonio Meneses,Tchaikovsky,Other,1982,cello,1,0
261,Alexander Rudin,Tchaikovsky,Europe,1982,cello,2,0
262,Georg Faust,Tchaikovsky,Europe,1982,cello,3,0
263,Gustav Rivinius,Tchaikovsky,Europe,1990,cello,1,0
264,Denis Shapovalov,Tchaikovsky,Europe,1998,cello,1,0
265,Liwei Qin,Tchaikovsky,Other,1998,cello,2,0
266,Boris Andrianov,Tchaikovsky,Europe,1998,cello,3,0
267,Johannes Moser,Tchaikovsky,Europe,2002,cello,2,0
268,Sergey Antonov,Tchaikovsky,Europe,2007,cello,1,0
269,Alexander Buzlov,Tchaikovsky,Europe,2007,cello,2,0
270,István Várdai,Tchaikovsky,Europe,2007,cello,3,0
271,Narek Hakhnazaryan,Tchaikovsky,Europe,2011,cello,1,0
272,Edgar Moreau,Tchaikovsky,Europe,2011,cello,2,0
273,Ivan Karizna,Tchaikovsky,Europe,2011,cello,3,0
274,Andrei Ioniță,Tchaikovsky,Europe,2015,cello,1,0
275,Alexander Ramm,Tchaikovsky,Europe,2015,cello,2,0
276,Alexander Buzlov,Tchaikovsky,Europe,2015,cello,3,0
277,Lev Vlassenko,Tchaikovsky,Europe,1958,piano,2,0
278,Liu Shikun,Tchaikovsky,Asia,1958,piano,2,0
279,Vladimir Ashkenazy,Tchaikovsky,Europe,1962,piano,1,0
280,John Ogdon,Tchaikovsky,Europe,1962,piano,1,0
281,Susan Starr,Tchaikovsky,USA/Canada,1962,piano,2,1
282,Yin Chengzong,Tchaikovsky,Asia,1962,piano,2,0
283,Vladimir Krainev,Tchaikovsky,Europe,1970,piano,1,0
